plot no.,s,e,p mg/l,k (mg/l),ca (mg/l),mg (mg/l),exch.acidity (cmol/l),total cations (cmol/l),acidity sat. %,ph(kcl),zn (mg/l),mn (mg/l),cu (mg/l),unnamed: 12,plot no..1,organic c. (%),n (%),clay (%)
TSPLOT 20-B,,,3.0,121.0,103.0,68.0,2.32,3.7,63.0,4.15,0.2,1.0,0.2,,TSPLOT 21-A,0.5,0.07,10
TSPLOT 21-A,,,4.0,98.0,152.0,25.0,0.87,2.08,42.0,4.09,0.1,3.0,0.7,,TSPLOT 21-B,<  0.5,<  0.05,14
TSPLOT 21-B,,,3.0,46.0,50.0,10.0,1.4,1.85,76.0,4.17,0.1,1.0,0.5,,TSPLOT 21-C,<  0.5,<  0.05,18
TSPLOT 21-C,,,4.0,57.0,40.0,19.0,1.39,1.89,73.0,4.03,0.1,2.0,0.9,,TSPLOT 22-A,4.1,0.28,35
TSPLOT 22-A,,,12.0,262.0,1140.0,340.0,0.3,9.46,3.0,4.56,3.9,78.0,5.7,,TSPLOT 23-A,4.4,0.26,50
TSPLOT 23-A,,,4.0,296.0,1333.0,509.0,0.7,12.3,6.0,4.26,1.1,37.0,24.9,,TSPLOT 23-B,0.8,0.17,47
TSPLOT 23-B,,,2.0,62.0,2238.0,1065.0,0.29,20.38,1.0,4.53,1.4,20.0,8.3,,TSPLOT 24-A,2.9,0.22,11
TSPLOT 24-A,,,6.0,74.0,81.0,18.0,1.79,2.53,71.0,3.97,0.5,12.0,0.6,,TSPLOT 24-A,1.3,0.14,7
TSPLOT 24-B,,,3.0,30.0,21.0,7.0,1.09,1.33,82.0,4.34,0.2,1.0,0.6,,TSPLOT 24-B,1.2,0.1,17
TSPLOT 25-A,,,9.0,154.0,872.0,275.0,0.93,7.94,12.0,4.21,0.3,9.0,5.5,,TSPLOT 25-A,0.44,0.26,26
TSPLOT 26-A,,,10.0,123.0,137.0,32.0,1.64,2.9,57.0,3.98,0.3,6.0,0.8,,TSPLOT 26-A,2.6,0.19,12
TSPLOT 26-B,,,3.0,64.0,14.0,7.0,1.57,1.86,84.0,4.2,0.1,1.0,0.5,,TSPLOT 26-B,<  0.5,<  0.05,20
TSPLOT 27-A,,,5.0,131.0,269.0,68.0,0.66,2.9,23.0,4.07,0.9,11.0,0.6,,TSPLOT 27-A,1.2,0.11,12
TSPLOT 27-B,,,2.0,71.0,92.0,54.0,1.15,2.24,51.0,4.14,0.4,1.0,0.8,,TSPLOT 27-B,<  0.5,0.06,17
TSPLOT 27-C,,,3.0,44.0,107.0,55.0,0.63,1.73,36.0,4.27,0.3,1.0,0.6,,TSPLOT 27-C,<  0.5,<  0.05,9
TSPLOT 28-A,,,5.0,81.0,169.0,39.0,1.17,2.54,46.0,4.01,0.3,6.0,0.6,,TSPLOT 28-A,1,0.1,10
TSPLOT 29-A,,,2.0,29.0,34.0,36.0,1.37,1.91,72.0,4.18,0.3,1.0,0.1,,TSPLOT 29-AB,< 0.5,<  0.05,17
TSPLOT 30-A,,,2.0,94.0,293.0,79.0,0.4,2.75,15.0,4.25,0.6,20.0,1.3,,TSPLOT 30-A,< 0.5,<  0.05,18
TSPLOT 30-B,,,1.0,54.0,212.0,105.0,0.91,2.97,31.0,4.2,0.2,4.0,1.7,,TSPLOT 30-B,1.1,0.12,30
TSPLOT 31-A,,,2.0,72.0,23.0,41.0,3.42,4.06,84.0,3.97,0.7,3.0,0.9,,TSPLOT 31-A,<  0.5,<  0.05,24
TSPLOT 32-A,,,6.0,68.0,57.0,18.0,1.73,2.34,74.0,3.98,0.6,5.0,0.3,,TSPLOT 32-A,2.3,0.2,5
TSPLOT 32-B,,,3.0,16.0,15.0,12.0,0.99,1.2,82.0,4.45,0.2,1.0,0.1,,TSPLOT 32-B,0.8,0.11,8
TSPLOT 33-A,,,16.0,72.0,85.0,21.0,1.99,2.77,72.0,4.13,0.7,4.0,0.8,,TSPLOT 33-A,3,27,6
TSPLOT 33-B,,,2.0,42.0,93.0,22.0,3.39,4.14,82.0,3.93,0.2,1.0,0.7,,TSPLOT 33-B,< 0.5,<  0.05,16
TSPLOT 34-A,,,2.0,33.0,20.0,0.0,1.0,1.18,84.0,4.41,0.1,1.0,0.2,,TSPLOT 34-A,< 0.5,0.05,11
TSPLOT 34-B,,,12.0,80.0,48.0,10.0,2.09,2.62,80.0,4.04,0.3,2.0,0.6,,TSPLOT 34-B,2.4,0.2,<  5
TSPLOT 34-C,,,1.0,52.0,49.0,7.0,1.04,1.48,71.0,4.36,0.0,1.0,0.4,,TSPLOT 35-A,4.6,0.33,9
TSPLOT 34-D,,,1.0,32.0,31.0,4.0,0.45,0.71,62.0,4.43,0.0,1.0,0.1,,TSPLOT 35-B,2.2,0.14,14
